Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.735183	0.745293	74.442000	75.430000	
0.100000	0.650291	0.819888	77.778000	72.990000	
0.100000	0.625870	0.762426	78.410000	75.850000	
0.100000	0.610356	0.816144	78.926000	72.230000	
0.100000	0.590571	0.617737	79.760000	79.490000	
0.100000	0.580221	0.599110	80.174000	79.960000	
0.100000	0.567878	0.704120	80.466000	76.660000	
0.100000	0.551622	0.665755	80.844000	77.560000	
0.100000	0.555040	0.626032	80.976000	79.050000	
0.100000	0.546918	0.612353	80.986000	79.470000	
0.100000	0.532285	0.663556	81.746000	78.010000	
0.100000	0.531288	0.653440	81.614000	78.460000	
0.100000	0.521938	0.780712	82.068000	76.080000	
0.100000	0.519924	0.688589	82.226000	76.270000	
0.100000	0.522690	0.593132	81.736000	79.970000	
0.100000	0.510927	0.607667	82.460000	80.080000	
0.100000	0.510323	0.663901	82.476000	78.440000	
0.100000	0.510866	0.640167	82.292000	78.950000	
0.100000	0.505105	0.595036	82.478000	80.020000	
0.100000	0.498233	0.712088	82.810000	77.170000	
0.100000	0.499867	0.570911	82.730000	80.940000	
0.100000	0.495975	0.708319	82.812000	77.260000	
0.100000	0.489270	0.594459	83.422000	80.800000	
0.100000	0.490888	0.669404	83.050000	79.130000	
0.100000	0.483929	0.601138	83.468000	79.730000	
0.100000	0.487047	0.800730	83.108000	74.000000	
0.100000	0.480757	0.651911	83.470000	78.830000	
0.100000	0.477205	0.583488	83.402000	80.810000	
0.100000	0.480897	0.809423	83.412000	75.060000	
0.100000	0.482103	0.483016	83.472000	83.710000	
0.100000	0.470830	0.509419	83.770000	82.840000	
0.100000	0.476248	0.563004	83.590000	80.430000	
0.100000	0.469839	0.548395	83.910000	81.500000	
0.100000	0.471699	0.501766	83.684000	82.510000	
0.100000	0.465549	0.601108	83.886000	80.080000	
0.100000	0.473997	0.578322	83.778000	80.610000	
0.100000	0.467334	0.738977	83.904000	75.890000	
0.100000	0.464745	0.582427	84.062000	80.210000	
0.100000	0.464574	0.620522	83.928000	79.470000	
0.100000	0.464797	0.732833	83.908000	76.620000	
0.100000	0.463832	0.679600	84.074000	78.120000	
0.100000	0.466844	0.680577	83.962000	77.820000	
0.100000	0.461070	0.779455	84.044000	75.360000	
0.100000	0.457853	0.692750	84.296000	78.330000	
0.100000	0.459864	0.620251	84.066000	79.750000	
0.100000	0.460918	0.585039	84.026000	81.140000	
0.100000	0.455434	0.748701	84.288000	76.410000	
0.100000	0.455420	0.587093	84.214000	81.040000	
0.100000	0.449122	0.561633	84.404000	81.690000	
0.100000	0.458334	0.567410	84.122000	81.320000	
0.100000	0.453802	0.734718	84.278000	76.870000	
0.100000	0.453235	0.518126	84.490000	82.870000	
0.100000	0.450496	0.626632	84.476000	79.660000	
0.100000	0.445700	0.966433	84.584000	70.610000	
0.100000	0.451166	0.628445	84.344000	79.300000	
0.100000	0.454732	0.526358	84.350000	82.030000	
0.100000	0.450348	0.649614	84.352000	78.530000	
0.100000	0.450813	0.560578	84.432000	81.590000	
0.100000	0.445041	0.651508	84.654000	78.540000	
0.100000	0.443658	0.478574	84.634000	83.580000	
0.100000	0.449409	0.694257	84.518000	78.220000	
0.100000	0.451435	0.514728	84.360000	82.760000	
0.100000	0.444728	0.600810	84.688000	80.970000	
0.100000	0.441642	0.624925	84.684000	79.840000	
0.100000	0.443897	0.535069	84.524000	82.680000	
0.100000	0.444605	0.527098	84.726000	82.240000	
0.100000	0.443089	0.509162	84.688000	82.870000	
0.100000	0.446084	0.569662	84.568000	81.640000	
0.100000	0.435182	0.638198	84.948000	79.130000	
0.100000	0.438563	0.580696	84.694000	81.110000	
0.100000	0.442380	0.521783	84.728000	82.130000	
0.100000	0.439142	0.600631	84.816000	80.630000	
0.100000	0.443564	0.674238	84.720000	77.580000	
0.100000	0.437110	0.575277	84.980000	81.360000	
0.100000	0.440817	0.576656	84.790000	80.900000	
0.100000	0.443211	0.542902	84.862000	81.980000	
0.100000	0.439626	0.626630	84.696000	79.860000	
0.100000	0.434171	0.635642	84.968000	79.090000	
0.100000	0.434497	0.602410	84.988000	80.310000	
0.100000	0.443822	0.576887	84.738000	81.130000	
0.010000	0.317703	0.357497	89.110000	87.990000	
0.010000	0.281371	0.350908	90.446000	88.030000	
0.010000	0.272719	0.341944	90.674000	88.430000	
0.010000	0.262975	0.339979	91.040000	88.640000	
0.010000	0.254632	0.347033	91.140000	88.550000	
0.010000	0.250650	0.345733	91.310000	88.510000	
0.010000	0.246899	0.336855	91.486000	88.750000	
0.010000	0.244971	0.338193	91.548000	88.820000	
0.010000	0.240718	0.351546	91.616000	88.330000	
0.010000	0.237834	0.338440	91.628000	88.980000	
0.010000	0.234374	0.343077	91.832000	88.790000	
0.010000	0.229619	0.333551	92.032000	89.190000	
0.010000	0.231940	0.333605	92.114000	88.960000	
0.010000	0.230485	0.329220	91.926000	89.080000	
0.010000	0.227291	0.331356	92.160000	89.020000	
0.010000	0.224270	0.339406	92.282000	88.930000	
0.010000	0.224503	0.334657	92.132000	89.090000	
0.010000	0.221096	0.340738	92.366000	88.930000	
0.010000	0.220469	0.348082	92.334000	88.770000	
0.010000	0.218756	0.353659	92.380000	88.680000	
0.010000	0.216689	0.344962	92.336000	88.930000	
0.010000	0.217627	0.331660	92.452000	89.210000	
0.010000	0.216142	0.337542	92.554000	88.910000	
0.010000	0.213764	0.341884	92.606000	88.760000	
0.010000	0.212530	0.359334	92.614000	88.510000	
0.010000	0.211751	0.329695	92.550000	88.950000	
0.010000	0.211361	0.338586	92.618000	88.840000	
0.010000	0.210949	0.337950	92.602000	88.840000	
0.010000	0.205767	0.345805	92.740000	88.860000	
0.010000	0.212192	0.358433	92.632000	88.540000	
0.010000	0.208279	0.331259	92.740000	89.310000	
0.010000	0.208228	0.376446	92.756000	87.970000	
0.010000	0.207664	0.347021	92.746000	88.840000	
0.010000	0.206061	0.351240	92.764000	88.560000	
0.010000	0.208775	0.349495	92.628000	88.740000	
0.010000	0.207371	0.355151	92.766000	88.450000	
0.010000	0.206403	0.351719	92.838000	88.520000	
0.010000	0.204664	0.349182	92.754000	88.840000	
0.010000	0.200236	0.357774	93.012000	88.570000	
0.010000	0.206555	0.344445	92.752000	89.130000	
0.001000	0.179371	0.324585	93.888000	89.540000	
0.001000	0.170163	0.319883	94.024000	89.600000	
0.001000	0.170365	0.318259	94.158000	89.750000	
0.001000	0.166773	0.316551	94.288000	89.860000	
0.001000	0.164678	0.317174	94.396000	89.800000	
0.001000	0.160555	0.320319	94.554000	89.780000	
0.001000	0.161946	0.321323	94.470000	89.780000	
0.001000	0.159406	0.322685	94.530000	89.700000	
0.001000	0.163997	0.323138	94.350000	89.600000	
0.001000	0.161857	0.321211	94.518000	89.690000	
0.001000	0.159905	0.319092	94.604000	89.870000	
0.001000	0.161206	0.318564	94.524000	89.830000	
0.001000	0.158104	0.322017	94.560000	89.850000	
0.001000	0.157984	0.327468	94.686000	89.710000	
0.001000	0.161151	0.323257	94.618000	89.820000	
0.001000	0.156639	0.320247	94.714000	89.890000	
0.001000	0.156187	0.325407	94.644000	89.630000	
0.001000	0.156695	0.323260	94.650000	89.820000	
0.001000	0.155782	0.325243	94.760000	89.880000	
0.001000	0.156107	0.329096	94.686000	89.610000	
0.001000	0.154706	0.328721	94.678000	89.500000	
0.001000	0.153235	0.323174	94.680000	89.790000	
0.001000	0.155856	0.328282	94.620000	89.540000	
0.001000	0.153592	0.326974	94.652000	89.630000	
0.001000	0.156862	0.325087	94.558000	89.730000	
0.001000	0.150952	0.328130	94.884000	89.620000	
0.001000	0.151663	0.327728	94.774000	89.660000	
0.001000	0.151974	0.328239	94.790000	89.790000	
0.001000	0.152504	0.326259	94.714000	89.720000	
0.001000	0.153029	0.325194	94.750000	89.830000	
0.001000	0.151277	0.330601	94.802000	89.560000	
0.001000	0.149955	0.330389	94.912000	89.690000	
0.001000	0.150362	0.328698	94.770000	89.660000	
0.001000	0.150091	0.331424	94.872000	89.550000	
0.001000	0.153743	0.330808	94.772000	89.610000	
0.001000	0.150104	0.327067	94.806000	89.770000	
0.001000	0.148266	0.329949	94.950000	89.770000	
0.001000	0.148816	0.331531	94.874000	89.600000	
0.001000	0.151194	0.325974	94.782000	89.810000	
0.001000	0.147794	0.328757	94.944000	89.750000	
