   0.19721,  59.56905,   0.90360
   0.17357,  60.11381,   0.90500
   0.16790,  60.20716,   0.90840
   0.16122,  60.49105,   0.90790
   0.16016,  60.42583,   0.90820
   0.15696,  60.49744,   0.90850
   0.15377,  60.56522,   0.90960
   0.15432,  60.63811,   0.90990
   0.15298,  60.60358,   0.90870
   0.15070,  60.67647,   0.90800
   0.15270,  60.63171,   0.90880
   0.14744,  60.71611,   0.90840
   0.14648,  60.81458,   0.90980
   0.14848,  60.70461,   0.91040
   0.14701,  60.76087,   0.91000
   0.14641,  60.77877,   0.91070
   0.14699,  60.76982,   0.91030
   0.14646,  60.74553,   0.91100
   0.14366,  60.85166,   0.91240
   0.14213,  60.82737,   0.91040
   0.14193,  60.89258,   0.90930
   0.14037,  60.90154,   0.91140
   0.14120,  60.91304,   0.91030
   0.14147,  60.79795,   0.91110
   0.14018,  60.95013,   0.91120
   0.13695,  61.01918,   0.91090
   0.13680,  60.96036,   0.91100
   0.13716,  60.92839,   0.91160
   0.13803,  60.96036,   0.91260
   0.13947,  60.91432,   0.91160
   0.13684,  60.96036,   0.91080
   0.13505,  60.99361,   0.91170
   0.13582,  60.96036,   0.90990
   0.13481,  60.98594,   0.91040
   0.13643,  60.91816,   0.91050
   0.13426,  60.96164,   0.91180
   0.13496,  61.02941,   0.91150
   0.13448,  60.96420,   0.91070
   0.13303,  61.04987,   0.91180
   0.13376,  61.07289,   0.91210
   0.13140,  61.09719,   0.91070
   0.13335,  60.97187,   0.91220
   0.13023,  61.08952,   0.91250
   0.13020,  61.13299,   0.91080
   0.13005,  61.07289,   0.91170
   0.12910,  61.12276,   0.91090
   0.12749,  61.18414,   0.90990
   0.12818,  61.06138,   0.91210
   0.12699,  61.19437,   0.91310
   0.12548,  61.18670,   0.91180
   0.12763,  61.12148,   0.91140
   0.12728,  61.13811,   0.91250
   0.12471,  61.22379,   0.91410
   0.12478,  61.25192,   0.91150
   0.12572,  61.12276,   0.91070
   0.12554,  61.17647,   0.91290
   0.12378,  61.27621,   0.91130
   0.12196,  61.31202,   0.91120
   0.12375,  61.18670,   0.90920
   0.12339,  61.28261,   0.91120
   0.12448,  61.21995,   0.91340
   0.12315,  61.26343,   0.91220
   0.12376,  61.22890,   0.91190
   0.12280,  61.28261,   0.91150
   0.12189,  61.25576,   0.91150
   0.12104,  61.33248,   0.91070
   0.12210,  61.24553,   0.91090
   0.11901,  61.33248,   0.91280
   0.11824,  61.36829,   0.91000
   0.11791,  61.32992,   0.91240
   0.11960,  61.37468,   0.91010
   0.11827,  61.41304,   0.91180
