Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.095308	1.114504	61.604000	62.270000	
0.100000	0.858829	1.003391	70.182000	65.690000	
0.100000	0.797478	1.031278	72.310000	65.230000	
0.100000	0.755928	0.854223	73.830000	70.600000	
0.100000	0.735950	0.861801	74.464000	71.500000	
0.100000	0.714278	0.802919	75.580000	72.690000	
0.100000	0.699287	0.800896	75.778000	73.640000	
0.100000	0.693028	0.797566	76.166000	72.920000	
0.100000	0.677149	0.746638	76.648000	75.040000	
0.100000	0.668106	0.773755	77.042000	74.230000	
0.100000	0.662443	0.917892	77.190000	68.610000	
0.100000	0.649562	0.685474	77.548000	76.790000	
0.100000	0.645684	0.700699	77.740000	77.320000	
0.100000	0.643179	0.661198	77.762000	77.540000	
0.100000	0.625053	0.702889	78.314000	76.110000	
0.100000	0.627593	0.708216	78.280000	76.190000	
0.100000	0.628625	0.658929	78.246000	78.020000	
0.100000	0.624299	0.823614	78.328000	73.760000	
0.100000	0.614415	0.776559	78.692000	73.600000	
0.100000	0.610194	0.733866	78.930000	75.060000	
0.100000	0.605484	0.806282	78.966000	72.980000	
0.100000	0.608936	0.694007	78.936000	77.050000	
0.100000	0.602886	0.811567	79.162000	73.240000	
0.100000	0.595569	0.930909	79.546000	70.370000	
0.100000	0.597423	0.665838	79.466000	76.590000	
0.100000	0.593885	0.729746	79.494000	75.280000	
0.100000	0.589266	0.682855	79.742000	76.630000	
0.100000	0.589110	0.685600	79.706000	77.250000	
0.100000	0.589867	0.637361	79.602000	78.960000	
0.100000	0.585943	0.746020	79.644000	74.670000	
0.100000	0.577801	0.654571	80.066000	78.450000	
0.100000	0.583722	0.671309	79.852000	77.400000	
0.100000	0.586621	0.645162	79.814000	78.520000	
0.100000	0.578820	0.782702	80.134000	73.910000	
0.100000	0.575655	0.790462	80.248000	74.470000	
0.100000	0.577166	0.673693	80.096000	77.060000	
0.100000	0.567789	0.861170	80.404000	71.770000	
0.100000	0.573865	0.694880	80.138000	76.120000	
0.100000	0.567506	0.676202	80.786000	77.040000	
0.100000	0.568304	0.715036	80.328000	75.530000	
0.100000	0.566552	0.703908	80.328000	76.150000	
0.100000	0.568717	0.605436	80.552000	79.350000	
0.100000	0.569754	0.623400	80.264000	78.990000	
0.100000	0.556829	0.717324	80.638000	75.960000	
0.100000	0.569899	0.639037	80.398000	78.360000	
0.100000	0.559927	0.894660	80.664000	73.280000	
0.100000	0.558781	0.699781	80.596000	77.470000	
0.100000	0.558874	0.658379	80.686000	77.610000	
0.100000	0.560802	0.677423	80.606000	76.160000	
0.100000	0.567162	0.651865	80.422000	77.730000	
0.100000	0.562948	0.685573	80.464000	76.530000	
0.100000	0.557692	0.668424	80.934000	77.480000	
0.100000	0.551665	0.668562	80.866000	77.950000	
0.100000	0.558117	0.595798	80.780000	79.950000	
0.100000	0.555500	0.618719	80.876000	78.740000	
0.100000	0.554503	0.827658	80.890000	73.350000	
0.100000	0.552605	0.619428	81.024000	78.710000	
0.100000	0.552790	0.708021	80.876000	76.240000	
0.100000	0.554442	0.602075	80.758000	79.070000	
0.100000	0.550913	0.662304	80.910000	77.840000	
0.100000	0.549938	0.829867	80.878000	73.890000	
0.100000	0.557547	0.698930	80.552000	76.260000	
0.100000	0.545222	0.677919	81.288000	77.820000	
0.100000	0.549259	0.829783	81.206000	72.940000	
0.100000	0.550881	0.573098	80.984000	80.490000	
0.100000	0.545888	0.708092	81.080000	76.990000	
0.100000	0.543586	0.613189	81.310000	79.560000	
0.100000	0.547043	0.623133	81.162000	79.600000	
0.100000	0.546095	0.776287	81.178000	74.570000	
0.100000	0.548968	0.748539	81.194000	75.120000	
0.100000	0.546964	0.655339	81.276000	77.650000	
0.100000	0.547740	0.826365	81.116000	72.070000	
0.100000	0.549483	0.601895	81.118000	79.920000	
0.100000	0.544257	0.704419	81.078000	76.620000	
0.100000	0.545002	0.770627	81.224000	74.080000	
0.100000	0.544124	0.650175	81.184000	77.900000	
0.100000	0.541918	0.590923	81.384000	80.380000	
0.100000	0.546688	0.821924	81.264000	73.580000	
0.100000	0.542982	0.675729	81.326000	77.860000	
0.100000	0.543124	0.801886	81.320000	74.110000	
0.010000	0.423456	0.434758	85.582000	85.260000	
0.010000	0.397111	0.423457	86.516000	85.540000	
0.010000	0.387771	0.425436	86.726000	85.760000	
0.010000	0.378270	0.423571	87.006000	85.720000	
0.010000	0.372923	0.430332	87.146000	85.140000	
0.010000	0.367384	0.422549	87.330000	85.640000	
0.010000	0.364832	0.428273	87.548000	85.820000	
0.010000	0.363715	0.432210	87.442000	85.370000	
0.010000	0.360159	0.433893	87.554000	85.280000	
0.010000	0.358048	0.428808	87.606000	85.370000	
0.010000	0.355311	0.422266	87.910000	85.720000	
0.010000	0.354409	0.414162	87.740000	86.070000	
0.010000	0.352244	0.412630	87.906000	86.200000	
0.010000	0.349191	0.417265	87.944000	85.990000	
0.010000	0.349989	0.408673	87.954000	86.020000	
0.010000	0.349956	0.412892	88.080000	86.180000	
0.010000	0.345793	0.412297	88.068000	86.200000	
0.010000	0.344044	0.418565	88.036000	85.930000	
0.010000	0.344324	0.413829	88.088000	86.300000	
0.010000	0.344442	0.420144	88.068000	86.010000	
0.010000	0.341160	0.404486	88.184000	86.210000	
0.010000	0.343687	0.411156	88.114000	85.980000	
0.010000	0.341857	0.427815	88.204000	85.480000	
0.010000	0.339504	0.410512	88.326000	86.130000	
0.010000	0.336297	0.427317	88.366000	85.580000	
0.010000	0.337230	0.404851	88.292000	86.420000	
0.010000	0.338294	0.402973	88.466000	86.370000	
0.010000	0.338200	0.429345	88.188000	85.870000	
0.010000	0.332797	0.425000	88.586000	85.750000	
0.010000	0.334632	0.425188	88.486000	85.680000	
0.010000	0.335594	0.412761	88.510000	85.820000	
0.010000	0.334122	0.405085	88.482000	86.540000	
0.010000	0.332322	0.420426	88.436000	85.930000	
0.010000	0.331122	0.415427	88.560000	86.180000	
0.010000	0.331840	0.438397	88.476000	85.100000	
0.010000	0.333069	0.435979	88.464000	85.420000	
0.010000	0.330893	0.408114	88.482000	85.990000	
0.010000	0.329567	0.409710	88.554000	86.390000	
0.010000	0.329252	0.417025	88.652000	86.230000	
0.010000	0.334184	0.414041	88.500000	86.280000	
0.001000	0.305876	0.379378	89.546000	87.240000	
0.001000	0.299630	0.380916	89.754000	87.060000	
0.001000	0.297292	0.380481	89.850000	87.300000	
0.001000	0.292547	0.378816	89.992000	87.050000	
