Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.743905	0.717956	74.412000	76.870000	
0.100000	0.582976	0.597839	80.010000	80.150000	
0.100000	0.552990	0.604487	80.900000	80.220000	
0.100000	0.533884	0.606896	81.600000	79.130000	
0.100000	0.528534	0.784808	81.908000	75.420000	
0.100000	0.513703	0.573944	82.206000	80.620000	
0.100000	0.511819	0.707067	82.352000	76.800000	
0.100000	0.506167	0.612333	82.698000	79.330000	
0.100000	0.497692	0.679695	82.992000	77.900000	
0.100000	0.500148	0.570416	82.810000	80.510000	
0.100000	0.494684	0.534264	82.950000	82.000000	
0.100000	0.497681	0.561637	82.984000	81.320000	
0.100000	0.493124	0.619465	83.044000	79.300000	
0.100000	0.487234	0.541075	83.326000	81.370000	
0.100000	0.478948	0.656985	83.556000	78.580000	
0.100000	0.480124	0.626253	83.522000	79.780000	
0.100000	0.481438	0.570456	83.556000	80.870000	
0.100000	0.473110	0.590132	83.638000	80.130000	
0.100000	0.471812	0.630755	83.760000	79.100000	
0.100000	0.478876	0.598296	83.458000	80.470000	
0.100000	0.471678	0.552103	83.748000	81.200000	
0.100000	0.470907	0.561334	83.770000	81.440000	
0.100000	0.475447	0.541826	83.330000	82.010000	
0.100000	0.476525	0.656947	83.628000	78.530000	
0.100000	0.470067	0.547403	83.698000	81.850000	
0.100000	0.467020	0.535539	83.904000	82.230000	
0.100000	0.472847	0.549930	83.740000	81.340000	
0.100000	0.463365	0.539988	83.918000	81.950000	
0.100000	0.460553	0.592472	84.062000	80.500000	
0.100000	0.465704	0.546759	83.968000	81.410000	
0.100000	0.459448	0.551112	84.290000	81.410000	
0.100000	0.459074	0.637382	84.164000	80.010000	
0.100000	0.463640	0.595828	84.082000	81.340000	
0.100000	0.460447	0.589516	84.154000	80.340000	
0.100000	0.462924	0.647267	83.798000	78.300000	
0.100000	0.465954	0.598318	83.804000	79.890000	
0.100000	0.466526	0.623251	84.028000	80.090000	
0.100000	0.457437	0.634488	84.142000	78.720000	
0.100000	0.460892	0.624630	84.138000	79.410000	
0.100000	0.462655	0.613927	84.030000	80.220000	
0.100000	0.455886	0.566768	84.234000	81.360000	
0.100000	0.454309	0.518982	84.280000	82.350000	
0.100000	0.454956	0.545264	84.280000	81.800000	
0.100000	0.445613	0.539196	84.622000	81.760000	
0.100000	0.456870	0.572576	84.234000	81.410000	
0.100000	0.456506	0.565901	84.134000	80.990000	
0.100000	0.451962	0.525323	84.460000	82.030000	
0.100000	0.454763	0.508281	84.156000	82.820000	
0.100000	0.450387	0.572062	84.378000	81.120000	
0.100000	0.448232	0.632203	84.484000	79.230000	
0.100000	0.452127	0.589439	84.316000	80.570000	
0.100000	0.448839	0.602469	84.562000	80.210000	
0.100000	0.449566	0.571865	84.434000	81.110000	
0.100000	0.446053	0.525880	84.516000	82.420000	
0.100000	0.445548	0.683622	84.502000	79.410000	
0.100000	0.447914	0.592172	84.462000	80.530000	
0.100000	0.450200	0.620619	84.384000	80.010000	
0.100000	0.443538	0.603077	84.794000	80.230000	
0.100000	0.447098	0.510280	84.494000	82.630000	
0.100000	0.445934	0.496719	84.814000	83.670000	
0.100000	0.443939	0.483346	84.548000	83.640000	
0.100000	0.449513	0.689444	84.496000	77.760000	
0.100000	0.442095	0.541666	84.658000	81.900000	
0.100000	0.443981	0.502874	84.716000	83.310000	
0.100000	0.443738	0.581280	84.696000	81.200000	
0.100000	0.442344	0.522361	84.724000	82.400000	
0.100000	0.448091	0.551699	84.528000	82.100000	
0.100000	0.437648	0.532712	85.010000	82.470000	
0.100000	0.445093	0.598098	84.524000	79.880000	
0.100000	0.443743	0.606150	84.780000	80.090000	
0.100000	0.438752	0.564589	84.844000	81.210000	
0.100000	0.445032	0.579279	84.580000	80.490000	
0.100000	0.445094	0.535133	84.534000	81.590000	
0.100000	0.433479	0.611442	84.952000	79.850000	
0.100000	0.438365	0.581998	84.990000	81.150000	
0.100000	0.436037	0.531454	85.110000	82.170000	
0.100000	0.442738	0.537395	84.724000	82.370000	
0.100000	0.439330	0.591727	84.756000	80.120000	
0.100000	0.442554	0.566785	84.690000	80.880000	
0.100000	0.436673	0.558178	84.886000	81.640000	
0.010000	0.315074	0.357630	89.102000	88.210000	
0.010000	0.280138	0.350386	90.322000	88.230000	
0.010000	0.266705	0.338974	90.934000	88.550000	
0.010000	0.258709	0.340887	91.018000	88.690000	
0.010000	0.253975	0.335207	91.270000	88.840000	
0.010000	0.246168	0.347624	91.600000	88.490000	
0.010000	0.240750	0.343164	91.740000	88.660000	
0.010000	0.238808	0.339057	91.778000	88.810000	
0.010000	0.234776	0.337004	91.762000	89.130000	
0.010000	0.235001	0.337894	91.886000	88.740000	
0.010000	0.225929	0.335981	92.194000	88.810000	
0.010000	0.226394	0.337682	92.162000	89.000000	
0.010000	0.224278	0.343364	92.232000	88.830000	
0.010000	0.223647	0.342198	92.152000	88.800000	
0.010000	0.221846	0.336694	92.310000	88.790000	
0.010000	0.218762	0.348658	92.434000	88.710000	
0.010000	0.217873	0.342086	92.362000	88.860000	
0.010000	0.212546	0.340160	92.432000	88.950000	
0.010000	0.214675	0.346167	92.596000	88.620000	
0.010000	0.212107	0.357591	92.660000	88.220000	
0.010000	0.210751	0.348871	92.600000	88.700000	
0.010000	0.210226	0.347924	92.662000	88.700000	
0.010000	0.208566	0.349444	92.722000	88.700000	
0.010000	0.208655	0.339466	92.788000	88.920000	
0.010000	0.204793	0.356502	92.838000	88.670000	
0.010000	0.205324	0.370917	92.794000	88.290000	
0.010000	0.204014	0.349947	92.906000	88.700000	
0.010000	0.203096	0.350776	92.916000	88.620000	
0.010000	0.206021	0.355117	92.800000	88.280000	
0.010000	0.204076	0.351350	92.766000	88.740000	
0.010000	0.202094	0.354815	92.946000	88.640000	
0.010000	0.200925	0.364778	92.934000	88.410000	
0.010000	0.201147	0.356527	92.924000	88.740000	
0.010000	0.197864	0.358849	93.222000	88.570000	
0.010000	0.198293	0.357369	92.950000	88.720000	
0.010000	0.201031	0.356787	92.958000	88.500000	
0.010000	0.194799	0.363223	93.180000	88.440000	
0.010000	0.196017	0.357840	93.116000	88.610000	
0.010000	0.194854	0.352482	93.200000	88.870000	
0.010000	0.196258	0.364701	93.206000	88.590000	
0.001000	0.171953	0.335559	93.966000	89.240000	
0.001000	0.162502	0.331844	94.470000	89.340000	
0.001000	0.161627	0.333747	94.500000	89.510000	
0.001000	0.157690	0.329500	94.604000	89.530000	
0.001000	0.156172	0.331916	94.588000	89.590000	
0.001000	0.155286	0.333921	94.734000	89.470000	
0.001000	0.153011	0.332505	94.750000	89.540000	
0.001000	0.152886	0.330563	94.812000	89.680000	
0.001000	0.155119	0.330079	94.752000	89.630000	
0.001000	0.151921	0.333650	94.826000	89.550000	
0.001000	0.152619	0.329236	94.774000	89.850000	
0.001000	0.149470	0.332419	94.764000	89.480000	
0.001000	0.150838	0.332601	94.814000	89.660000	
0.001000	0.147601	0.330181	94.984000	89.670000	
0.001000	0.150491	0.332321	94.796000	89.590000	
0.001000	0.147389	0.333014	94.846000	89.760000	
0.001000	0.150902	0.328364	94.800000	89.820000	
0.001000	0.145819	0.334694	94.946000	89.480000	
0.001000	0.149828	0.335017	94.912000	89.480000	
0.001000	0.145636	0.336393	95.084000	89.650000	
0.001000	0.145919	0.330108	95.048000	89.670000	
0.001000	0.146212	0.335262	95.028000	89.600000	
0.001000	0.145638	0.337871	94.972000	89.700000	
0.001000	0.145162	0.337958	95.004000	89.510000	
0.001000	0.144629	0.336694	95.014000	89.640000	
0.001000	0.145256	0.334426	95.100000	89.680000	
0.001000	0.144781	0.336302	94.952000	89.640000	
0.001000	0.145835	0.336302	94.898000	89.730000	
0.001000	0.141134	0.340255	95.116000	89.610000	
0.001000	0.140908	0.335441	95.162000	89.560000	
0.001000	0.142737	0.336926	95.148000	89.570000	
0.001000	0.142758	0.339225	95.030000	89.510000	
0.001000	0.142619	0.342529	95.116000	89.460000	
0.001000	0.139204	0.336752	95.154000	89.630000	
0.001000	0.140079	0.332706	95.202000	89.610000	
0.001000	0.139711	0.338514	95.134000	89.540000	
0.001000	0.142767	0.335194	95.076000	89.730000	
0.001000	0.139347	0.341645	95.186000	89.630000	
0.001000	0.141714	0.339108	95.048000	89.780000	
0.001000	0.140386	0.339502	95.110000	89.600000	
