Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.795262	1.579665	32.528000	39.810000	
0.100000	1.599471	1.584194	40.188000	40.750000	
0.100000	1.503790	1.491698	44.662000	44.740000	
0.100000	1.428574	1.635245	47.984000	43.280000	
0.100000	1.377217	1.291740	50.022000	52.390000	
0.100000	1.336159	1.330877	51.560000	51.100000	
0.100000	1.309199	1.260320	52.614000	54.250000	
0.100000	1.289861	1.469623	53.508000	47.790000	
0.100000	1.269490	1.352533	54.184000	52.460000	
0.100000	1.245139	1.318188	55.230000	51.990000	
0.100000	1.232177	1.377912	55.494000	50.320000	
0.100000	1.215721	1.188578	56.046000	57.190000	
0.100000	1.199987	1.181090	56.654000	57.570000	
0.100000	1.185257	1.507935	57.426000	48.550000	
0.100000	1.181156	1.342060	57.440000	51.570000	
0.100000	1.176510	1.212282	57.548000	56.940000	
0.100000	1.164752	1.179231	58.232000	57.260000	
0.100000	1.156802	1.508516	58.598000	46.900000	
0.100000	1.156837	1.137588	58.400000	59.660000	
0.100000	1.147395	1.181838	58.944000	56.820000	
0.100000	1.148177	1.170145	58.976000	58.530000	
0.100000	1.143653	1.398484	59.094000	52.240000	
0.100000	1.136195	1.132099	59.208000	60.050000	
0.100000	1.135883	1.453976	59.216000	51.290000	
0.100000	1.127482	1.464123	59.692000	51.720000	
0.100000	1.130361	1.345034	59.532000	55.390000	
0.100000	1.127998	1.130250	59.614000	59.850000	
0.100000	1.125302	1.294080	59.532000	57.520000	
0.100000	1.122395	1.109930	59.896000	60.620000	
0.100000	1.114749	1.344288	60.344000	54.060000	
0.100000	1.115689	1.422657	60.210000	53.120000	
0.100000	1.110723	1.210268	60.298000	56.600000	
0.100000	1.115839	1.385188	59.920000	51.130000	
0.100000	1.112677	1.314333	60.164000	54.500000	
0.100000	1.117674	1.221087	60.106000	56.770000	
0.100000	1.110034	1.147556	60.620000	59.400000	
0.100000	1.115131	1.296465	60.312000	55.590000	
0.100000	1.105601	1.121474	60.622000	59.820000	
0.100000	1.107759	1.098759	60.458000	60.750000	
0.100000	1.109611	1.129221	60.390000	60.300000	
0.100000	1.101107	1.236501	60.702000	57.190000	
0.100000	1.107560	1.208304	60.554000	56.920000	
0.100000	1.103509	1.191849	60.726000	58.580000	
0.100000	1.102373	1.660284	60.770000	47.860000	
0.100000	1.103194	1.227509	60.758000	56.260000	
0.100000	1.095708	1.154099	60.936000	60.130000	
0.100000	1.096974	1.614213	60.928000	49.240000	
0.100000	1.101682	1.124792	61.008000	60.220000	
0.100000	1.099814	1.182746	60.786000	57.250000	
0.100000	1.099159	1.212675	61.170000	57.520000	
0.100000	1.099289	1.407323	60.904000	54.110000	
0.100000	1.096145	1.142971	61.038000	60.080000	
0.100000	1.092041	1.358082	61.084000	54.630000	
0.100000	1.086155	1.183683	61.434000	59.340000	
0.100000	1.087205	1.309488	61.556000	54.970000	
0.100000	1.094830	1.257225	61.190000	55.940000	
0.100000	1.091992	1.201385	61.250000	57.750000	
0.100000	1.088050	1.426595	61.440000	53.050000	
0.100000	1.087987	1.543035	61.304000	50.300000	
0.100000	1.084474	1.259527	61.636000	57.160000	
0.100000	1.089540	1.867208	61.472000	46.070000	
0.100000	1.083213	1.300112	61.632000	54.740000	
0.100000	1.080589	1.125195	61.840000	60.850000	
0.100000	1.080595	2.050752	61.798000	42.120000	
0.100000	1.080633	1.311682	61.632000	57.320000	
0.100000	1.077057	1.064603	61.724000	62.090000	
0.100000	1.081716	1.077201	61.690000	61.590000	
0.100000	1.079117	1.191073	61.512000	58.180000	
0.100000	1.077136	1.249557	61.946000	56.790000	
0.100000	1.075909	1.383927	61.700000	52.550000	
0.100000	1.068797	1.290536	62.238000	55.200000	
0.100000	1.072213	1.279943	62.026000	55.610000	
0.100000	1.080156	1.286903	61.708000	55.710000	
0.100000	1.076382	1.357377	61.876000	53.880000	
0.100000	1.076303	1.293145	61.812000	55.430000	
0.100000	1.073153	1.103753	61.944000	61.540000	
0.100000	1.074936	1.274205	61.988000	57.030000	
0.100000	1.070117	1.677014	62.020000	46.940000	
0.100000	1.072972	1.233278	61.966000	57.820000	
0.100000	1.071737	1.169479	61.946000	60.480000	
0.010000	0.990800	0.933712	65.040000	66.630000	
0.010000	0.976618	0.928728	65.684000	66.290000	
0.010000	0.969583	0.935920	65.700000	66.590000	
0.010000	0.970592	0.930975	65.820000	66.500000	
0.010000	0.964834	0.935881	65.856000	66.200000	
0.010000	0.968990	0.939387	65.594000	66.160000	
0.010000	0.964136	0.960938	65.966000	65.110000	
0.010000	0.966429	0.944353	65.966000	66.280000	
0.010000	0.963184	0.927415	65.876000	66.860000	
0.010000	0.966139	0.932453	66.000000	66.100000	
0.010000	0.960657	0.931049	66.264000	66.680000	
0.010000	0.962277	0.925363	65.888000	67.000000	
0.010000	0.960667	0.920353	65.874000	67.060000	
0.010000	0.960653	0.925115	66.074000	66.680000	
0.010000	0.958754	0.931353	65.942000	66.470000	
0.010000	0.963109	0.931203	65.820000	66.730000	
0.010000	0.964116	0.931043	66.050000	66.850000	
0.010000	0.959752	0.921766	65.844000	66.910000	
0.010000	0.959172	0.920706	66.184000	66.990000	
