Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.309156	0.964872	53.598000	67.290000	
0.100000	0.765204	0.783297	73.500000	73.000000	
0.100000	0.663882	0.851757	77.114000	71.770000	
0.100000	0.619009	0.628855	78.564000	78.770000	
0.100000	0.583571	0.586635	79.722000	80.520000	
0.100000	0.567817	0.649636	80.256000	78.090000	
0.100000	0.551376	0.740784	80.868000	75.330000	
0.100000	0.540830	0.681502	81.314000	77.110000	
0.100000	0.530197	0.601478	81.564000	79.920000	
0.100000	0.520802	0.641227	81.980000	78.400000	
0.100000	0.521902	0.656296	81.866000	78.230000	
0.100000	0.505333	0.563878	82.522000	81.030000	
0.100000	0.503942	0.589055	82.610000	79.960000	
0.100000	0.497208	0.543660	82.746000	81.870000	
0.100000	0.496685	0.574036	82.716000	80.530000	
0.100000	0.492585	0.592127	83.004000	79.730000	
0.100000	0.491341	0.674695	83.210000	78.260000	
0.100000	0.485609	0.629523	83.190000	79.120000	
0.100000	0.489389	0.550104	83.018000	81.220000	
0.100000	0.488796	0.675122	83.088000	77.590000	
0.100000	0.484263	0.605763	83.286000	79.960000	
0.100000	0.480579	0.603830	83.320000	79.800000	
0.100000	0.480907	0.510033	83.354000	82.700000	
0.100000	0.483196	0.654764	83.432000	78.960000	
0.100000	0.474867	0.626309	83.652000	79.510000	
0.100000	0.473012	0.613220	83.626000	79.690000	
0.100000	0.471477	0.662002	83.658000	78.970000	
0.100000	0.473115	0.732527	83.536000	76.800000	
0.100000	0.470190	0.532670	83.674000	81.980000	
0.100000	0.470754	0.530801	83.762000	81.990000	
0.100000	0.474153	0.518828	83.590000	82.040000	
0.100000	0.466596	0.667566	83.960000	77.860000	
0.100000	0.461720	0.516557	84.000000	82.770000	
0.100000	0.469119	0.590296	83.870000	80.180000	
0.100000	0.468785	0.589028	83.834000	80.350000	
0.100000	0.471714	0.514881	83.878000	82.100000	
0.100000	0.460631	0.532727	83.918000	82.130000	
0.100000	0.462058	0.577056	84.192000	80.900000	
0.100000	0.464753	0.583824	83.762000	80.410000	
0.100000	0.459252	0.638823	84.068000	78.610000	
0.100000	0.461959	0.580949	84.010000	81.010000	
0.100000	0.457006	0.552750	84.206000	81.550000	
0.100000	0.462153	0.573156	84.270000	81.020000	
0.100000	0.460333	0.557060	84.126000	81.080000	
0.100000	0.459167	0.624771	84.052000	79.480000	
0.100000	0.455587	0.525388	84.156000	82.310000	
0.100000	0.455133	0.624234	84.472000	79.340000	
0.100000	0.456148	0.509813	84.328000	82.840000	
0.100000	0.450327	0.629204	84.488000	79.770000	
0.100000	0.462656	0.562783	83.952000	81.360000	
0.100000	0.451912	0.584364	84.176000	80.700000	
0.100000	0.463127	0.602982	83.898000	80.290000	
0.100000	0.452308	0.625078	84.440000	78.980000	
0.100000	0.456051	0.555640	84.390000	81.990000	
0.100000	0.454451	0.698937	84.090000	76.370000	
0.100000	0.457081	0.755787	84.182000	76.390000	
0.100000	0.446671	0.573284	84.534000	80.900000	
0.100000	0.453168	0.455688	84.334000	84.220000	
0.100000	0.451270	0.541717	84.246000	81.700000	
0.100000	0.451071	0.581726	84.256000	80.850000	
0.100000	0.450382	0.516042	84.346000	82.730000	
0.100000	0.447710	0.569206	84.576000	80.640000	
0.100000	0.455364	0.556305	84.340000	81.450000	
0.100000	0.446512	0.630003	84.484000	80.270000	
0.100000	0.451758	0.637667	84.248000	79.040000	
0.100000	0.442023	0.508245	84.756000	82.940000	
0.100000	0.452383	0.489126	84.298000	83.020000	
0.100000	0.451301	0.635893	84.498000	78.990000	
0.100000	0.449434	0.608786	84.316000	79.500000	
0.100000	0.447974	0.633891	84.572000	79.090000	
0.100000	0.447381	0.605786	84.572000	80.010000	
0.100000	0.443136	0.719290	84.732000	77.750000	
0.100000	0.449703	0.542823	84.504000	81.900000	
0.100000	0.441444	0.759704	84.742000	75.760000	
0.100000	0.449165	0.565185	84.574000	81.430000	
0.100000	0.450365	0.533941	84.336000	81.960000	
0.100000	0.443357	0.565319	84.470000	80.890000	
0.100000	0.452936	0.574395	84.336000	80.610000	
0.100000	0.445997	0.568140	84.662000	81.320000	
0.100000	0.445795	0.730313	84.598000	76.390000	
0.010000	0.324346	0.367875	88.962000	87.370000	
0.010000	0.287382	0.359085	90.260000	87.630000	
0.010000	0.274140	0.355476	90.734000	87.890000	
0.010000	0.267044	0.356843	90.728000	87.900000	
0.010000	0.257832	0.359363	91.076000	87.960000	
0.010000	0.255549	0.352140	91.110000	88.150000	
0.010000	0.247874	0.347547	91.458000	88.550000	
0.010000	0.244926	0.355253	91.598000	88.150000	
0.010000	0.240915	0.344486	91.726000	88.450000	
0.010000	0.236425	0.343939	91.756000	88.560000	
0.010000	0.236341	0.355380	91.850000	88.170000	
0.010000	0.234557	0.354843	91.944000	88.120000	
0.010000	0.232388	0.348403	91.900000	88.430000	
0.010000	0.230136	0.353697	91.932000	88.070000	
0.010000	0.228502	0.357550	92.012000	88.160000	
0.010000	0.224995	0.353995	92.208000	88.350000	
0.010000	0.222830	0.355324	92.162000	88.690000	
0.010000	0.223644	0.347482	92.304000	88.680000	
0.010000	0.221161	0.353713	92.348000	88.350000	
0.010000	0.220609	0.349248	92.334000	88.620000	
0.010000	0.217080	0.362837	92.490000	88.130000	
0.010000	0.215594	0.354385	92.490000	88.640000	
0.010000	0.214121	0.357372	92.588000	88.520000	
0.010000	0.216377	0.347545	92.326000	88.720000	
0.010000	0.213876	0.362399	92.574000	88.400000	
0.010000	0.213035	0.348400	92.622000	88.780000	
0.010000	0.212557	0.348734	92.534000	88.720000	
0.010000	0.212684	0.347590	92.620000	88.770000	
